Date,Open,High,Low,Close,Adj Close,Volume
2012-12-27,68.500000,77.349998,68.500000,74.599998,66.157593,129408488
2012-12-28,74.900002,77.150002,72.675003,73.500000,65.182083,14809902
2012-12-31,73.425003,76.650002,72.500000,74.849998,66.379311,8382588
2013-01-01,75.800003,83.949997,75.275002,82.650002,73.296577,23287296
2013-01-02,83.050003,89.625000,82.800003,87.699997,77.775085,28335538
2013-01-03,88.449997,92.400002,87.500000,91.775002,81.388924,16827662
2013-01-04,92.500000,94.699997,91.400002,93.875000,83.251259,12499890
2013-01-07,94.500000,97.449997,90.250000,90.824997,80.546417,12390126
2013-01-08,91.375000,93.175003,88.050003,88.750000,78.706253,10552630
2013-01-09,89.449997,90.199997,87.150002,87.775002,77.841591,6870210
2013-01-10,88.349998,88.900002,82.550003,83.050003,73.651321,6637314
2013-01-11,83.500000,83.500000,77.250000,77.900002,69.084145,10038116
2013-01-14,78.000000,86.824997,77.849998,86.099998,76.356148,13364678
2013-01-15,86.875000,88.199997,83.224998,84.449997,74.892876,7698936
2013-01-16,84.050003,84.699997,81.349998,81.949997,72.675797,3344648
2013-01-17,82.750000,83.824997,81.275002,82.349998,73.030533,3543024
2013-01-18,83.099998,83.099998,80.324997,80.875000,71.722458,2031310
2013-01-21,81.025002,82.250000,79.550003,80.300003,71.212540,2160820
2013-01-22,80.150002,80.474998,77.625000,77.949997,69.128471,2650956
2013-01-23,78.500000,81.400002,77.574997,80.699997,71.567253,5241512
2013-01-24,81.324997,81.324997,76.599998,76.974998,68.263817,2832392
2013-01-25,77.025002,79.599998,76.224998,78.775002,69.860107,2190362
2013-01-28,79.375000,83.250000,78.500000,81.000000,71.833313,3438238
2013-01-29,81.250000,82.224998,79.500000,80.974998,71.811134,1724504
2013-01-30,80.900002,81.425003,78.375000,79.000000,70.059654,1057980
2013-01-31,79.250000,80.650002,78.250000,80.224998,71.146004,1112132
2013-02-01,81.000000,82.675003,79.199997,79.900002,70.857788,1664428
2013-02-04,80.175003,80.875000,77.599998,78.000000,69.172829,946804
2013-02-05,77.550003,78.800003,75.199997,76.275002,67.643044,1816246
2013-02-06,77.125000,77.250000,70.150002,71.000000,62.964996,4236034
2013-02-07,71.375000,71.974998,67.025002,71.199997,63.142368,8244064
2013-02-08,71.574997,71.824997,69.050003,69.974998,62.055992,1641442
2013-02-11,68.800003,70.849998,59.299999,62.099998,55.072201,9330500
2013-02-12,61.049999,66.500000,61.049999,65.974998,58.508678,5597974
2013-02-13,66.400002,70.925003,66.400002,70.175003,62.233376,4559318
2013-02-14,70.974998,70.974998,68.250000,70.175003,62.233376,2377794
2013-02-15,71.400002,71.400002,68.550003,69.900002,61.989491,1251088
2013-02-18,69.800003,71.400002,69.000000,69.925003,62.011654,1230778
2013-02-19,69.974998,71.199997,69.125000,70.675003,62.676781,1029770
2013-02-20,71.175003,71.699997,70.500000,70.925003,62.898502,1114162
2013-02-21,69.949997,70.324997,68.125000,68.650002,60.880943,1432500
2013-02-22,68.650002,70.949997,68.099998,70.525002,62.543762,1165574
2013-02-25,70.900002,71.375000,65.125000,66.775002,59.218136,1835790
2013-02-26,66.650002,66.675003,61.000000,62.349998,55.293915,2096160
2013-02-27,63.125000,64.250000,57.924999,63.025002,55.892532,1510732
2013-02-28,63.974998,63.974998,57.250000,57.750000,51.214493,3948898
2013-03-01,57.700001,59.150002,53.250000,54.450001,48.287952,2451766
2013-03-04,54.599998,56.474998,52.549999,54.150002,48.021900,1884764
2013-03-05,54.974998,62.974998,54.174999,60.549999,53.697617,6561442
2013-03-06,61.299999,67.250000,60.875000,65.875000,58.419994,7338136
2013-03-07,61.025002,66.375000,61.025002,63.424999,56.247250,2734770
2013-03-08,63.500000,63.700001,60.549999,61.424999,54.473591,2392762
2013-03-11,61.599998,63.650002,61.325001,61.974998,54.961346,1830418
2013-03-12,62.375000,63.150002,60.174999,61.674999,54.695305,1399404
2013-03-13,61.950001,61.950001,60.099998,60.674999,53.808468,2776990
2013-03-14,60.500000,61.424999,58.299999,59.525002,52.788616,1926930
2013-03-15,58.750000,60.724998,58.125000,59.000000,52.323029,1541174
2013-03-18,58.125000,58.900002,57.150002,58.075001,51.502712,750254
2013-03-19,58.450001,59.849998,53.000000,55.825001,49.507339,2040720
2013-03-20,55.825001,56.450001,53.775002,54.000000,47.888874,1101496
2013-03-21,54.750000,55.599998,51.400002,53.000000,47.002048,1478808
2013-03-22,53.375000,54.849998,52.500000,53.700001,47.622826,989002
2013-03-25,54.424999,56.200001,54.125000,54.775002,48.576172,1695454
2013-03-26,54.700001,56.250000,54.125000,55.125000,48.886559,732666
2013-03-28,55.150002,57.500000,54.549999,57.174999,50.704559,1332994
2013-04-01,57.599998,63.000000,57.000000,61.674999,54.695305,1353296
2013-04-02,61.525002,61.750000,60.250000,60.799999,53.919323,634242
2013-04-03,61.000000,62.450001,58.875000,59.700001,52.943806,744800
2013-04-04,59.700001,59.700001,55.900002,56.349998,49.972923,682766
2013-04-05,56.500000,57.000000,54.049999,54.650002,48.465321,708690
2013-04-08,55.125000,55.650002,54.375000,54.650002,48.465321,412128
2013-04-09,55.450001,56.650002,54.400002,54.825001,48.620510,525508
2013-04-10,54.625000,55.500000,53.900002,54.799999,48.598343,330316
2013-04-11,55.450001,55.799999,54.400002,54.724998,48.531826,273108
2013-04-12,54.599998,54.599998,53.575001,53.799999,47.711510,283014
2013-04-15,52.650002,53.500000,49.625000,50.849998,45.095356,1430072
2013-04-16,50.000000,53.750000,48.099998,50.849998,45.095356,2047880
2013-04-17,51.075001,52.299999,49.875000,50.049999,44.385891,928106
2013-04-18,50.450001,51.849998,49.500000,50.650002,44.917992,1243612
2013-04-22,50.750000,52.799999,50.750000,52.424999,46.492115,1809468
2013-04-23,52.599998,54.450001,52.599998,52.974998,46.979870,839606
2013-04-25,53.000000,59.900002,52.575001,56.299999,49.928585,3338698
2013-04-26,56.950001,58.674999,56.250000,56.775002,50.349831,1048458
2013-04-29,57.450001,57.924999,56.150002,56.474998,50.083782,495482
